model_size,quant,tg_tokens,tg_tok_sec,avg_power_w,min_power_w,max_power_w,power_samples,tokens_per_watt,joules_per_token,sec_per_1k_tokens,wh_per_1k_tokens,kwh_per_1m_tokens,rm_per_1k_tokens,rm_per_1m_tokens,electricity_cost_myr_per_kwh,model_file,bench_seconds
3B,Q4_K_M,512,98.524727,45.598491,3.210000,51.130000,53,2.160701,0.462813,10.149736,0.128559,0.128559,0.000071,0.070707,0.55,qwen2.5-3b-instruct-q4_k_m.gguf,29
3B,Q5_K_M,512,84.106137,47.483390,12.090000,51.240000,59,1.771275,0.564565,11.889739,0.156824,0.156824,0.000086,0.086253,0.55,qwen2.5-3b-instruct-q5_k_m.gguf,33
3B,Q8_0,512,65.769110,40.689481,12.870000,44.340000,77,1.616366,0.618672,15.204706,0.171853,0.171853,0.000095,0.094519,0.55,qwen2.5-3b-instruct-q8_0.gguf,43
7B,Q4_K_M,512,45.413678,50.906636,13.610000,53.650000,107,0.892097,1.120954,22.019798,0.311376,0.311376,0.000171,0.171257,0.55,qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf,59
7B,Q5_K_M,512,38.507252,50.213492,15.730000,52.620000,126,0.766871,1.304001,25.969134,0.362222,0.362223,0.000199,0.199223,0.55,qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,70
7B,Q8_0,512,29.569565,42.438344,14.200000,44.390000,163,0.696765,1.435204,33.818556,0.398668,0.398668,0.000219,0.219267,0.55,qwen2.5-7b-instruct-q8_0-00001-of-00003.gguf,92
14B,Q4_K_M,512,23.538061,51.780388,14.010000,54.680000,206,0.454575,2.199858,42.484383,0.611072,0.611072,0.000336,0.336090,0.55,qwen2.5-14b-instruct-q4_k_m-00001-of-00003.gguf,115
14B,Q5_K_M,512,19.163438,49.944960,14.760000,51.840000,252,0.383691,2.606263,52.182703,0.723962,0.723962,0.000398,0.398179,0.55,qwen2.5-14b-instruct-q5_k_m-00001-of-00003.gguf,139
14B,Q8_0,512,14.593198,42.061886,14.360000,43.850000,334,0.346946,2.882294,68.525076,0.800637,0.800637,0.000440,0.440350,0.55,qwen2.5-14b-instruct-q8_0-00001-of-00004.gguf,185
32B,Q4_K_M,512,10.279800,51.944055,13.950000,54.270000,471,0.197901,5.053022,97.278157,1.403617,1.403617,0.000772,0.771989,0.55,qwen2.5-32b-instruct-q4_k_m-00001-of-00005.gguf,260
32B,Q5_K_M,512,8.311348,47.513740,14.030000,50.940000,607,0.174925,5.716731,120.317426,1.587981,1.587981,0.000873,0.873390,0.55,qwen2.5-32b-instruct-q5_k_m-00001-of-00006.gguf,336
32B,Q8_0,512,6.245998,40.033509,7.350000,43.470000,798,0.156019,6.409466,160.102517,1.780407,1.780407,0.000979,0.979224,0.55,qwen2.5-32b-instruct-q8_0-00001-of-00009.gguf,442
