run,device,num_chunks,batch_size,time_s,chunks_per_sec,gpu_temp_c,gpu_mem_used_mb,gpu_power_w
1,cuda,100,32,0.0493,2026.8,56,-1,20.5
2,cuda,100,32,0.039,2563.7,60,-1,21.8
3,cuda,100,32,0.0828,1208.4,60,-1,23.3
1,cuda,100,64,0.0626,1598.1,60,-1,24.9
2,cuda,100,64,0.0309,3236.8,60,-1,26.2
3,cuda,100,64,0.0623,1605.0,60,-1,27.7
1,cuda,100,128,0.0491,2036.7,60,-1,29.1
2,cuda,100,128,0.031,3222.9,60,-1,30.5
3,cuda,100,128,0.03,3329.7,60,-1,31.6
1,cuda,100,256,0.0399,2508.1,60,-1,30.1
2,cuda,100,256,0.0399,2503.7,60,-1,28.1
3,cuda,100,256,0.0416,2406.7,60,-1,27.9
1,cuda,500,32,0.2119,2360.1,61,-1,31.6
2,cuda,500,32,0.1793,2789.3,61,-1,35.0
3,cuda,500,32,0.1954,2558.9,61,-1,38.5
1,cuda,500,64,0.1535,3257.5,61,-1,41.5
2,cuda,500,64,0.1513,3304.0,61,-1,43.7
3,cuda,500,64,0.1537,3253.4,61,-1,44.7
1,cuda,500,128,0.1526,3275.8,61,-1,46.0
2,cuda,500,128,0.1482,3373.0,65,-1,45.8
3,cuda,500,128,0.1451,3445.5,65,-1,46.1
1,cuda,500,256,0.1628,3071.0,65,-1,46.6
2,cuda,500,256,0.1639,3050.5,65,-1,46.2
3,cuda,500,256,0.1574,3175.8,65,-1,46.4
1,cuda,1000,32,0.387,2584.1,65,-1,46.9
2,cuda,1000,32,0.3882,2575.7,62,-1,46.7
3,cuda,1000,32,0.3864,2588.0,64,-1,44.8
1,cuda,1000,64,0.3177,3147.7,63,-1,46.7
2,cuda,1000,64,0.3079,3248.0,63,-1,48.4
3,cuda,1000,64,0.3077,3249.9,66,-1,50.4
1,cuda,1000,128,0.2978,3358.2,66,-1,51.6
2,cuda,1000,128,0.2964,3373.3,66,-1,52.0
3,cuda,1000,128,0.3021,3310.2,66,-1,53.1
1,cuda,1000,256,0.3118,3206.8,66,-1,52.9
2,cuda,1000,256,0.3119,3206.1,67,-1,53.4
3,cuda,1000,256,0.3099,3226.8,67,-1,53.8
1,cuda,5000,32,1.9154,2610.4,66,-1,48.4
2,cuda,5000,32,1.8878,2648.6,67,-1,49.2
3,cuda,5000,32,1.9223,2601.1,67,-1,49.0
1,cuda,5000,64,1.5408,3245.0,68,-1,55.1
2,cuda,5000,64,1.5316,3264.6,68,-1,55.6
3,cuda,5000,64,1.5022,3328.4,70,-1,56.3
1,cuda,5000,128,1.4831,3371.2,69,-1,57.9
2,cuda,5000,128,1.4941,3346.5,71,-1,57.6
3,cuda,5000,128,1.5029,3326.9,70,-1,57.5
1,cuda,5000,256,1.5496,3226.5,71,-1,58.0
2,cuda,5000,256,1.5181,3293.6,70,-1,59.3
3,cuda,5000,256,1.5454,3235.4,72,-1,58.8
1,cpu,100,32,1.2994,77.0,62,-1,13.9
2,cpu,100,32,1.326,75.4,62,-1,13.9
3,cpu,100,32,1.3228,75.6,62,-1,13.9
1,cpu,100,64,0.9965,100.4,62,-1,13.8
2,cpu,100,64,1.0373,96.4,62,-1,13.8
3,cpu,100,64,1.0015,99.9,62,-1,13.9
1,cpu,500,32,6.4383,77.7,63,-1,13.8
2,cpu,500,32,6.5148,76.7,63,-1,13.8
3,cpu,500,32,6.5794,76.0,63,-1,13.8
1,cpu,500,64,5.0045,99.9,63,-1,13.8
2,cpu,500,64,4.8472,103.2,63,-1,14.0
3,cpu,500,64,4.931,101.4,63,-1,13.8
1,cpu,1000,32,13.1675,75.9,63,-1,13.9
2,cpu,1000,32,12.8116,78.1,63,-1,14.0
3,cpu,1000,32,13.2243,75.6,64,-1,14.0
1,cpu,1000,64,9.5786,104.4,64,-1,13.9
2,cpu,1000,64,9.7341,102.7,64,-1,14.0
3,cpu,1000,64,9.8422,101.6,64,-1,14.0
