run,device,num_chunks,batch_size,time_s,chunks_per_sec,gpu_temp_c,gpu_mem_used_mb,gpu_power_w
1,cuda,100,32,0.0444,2254.0,51,-1,18.6
2,cuda,100,32,0.0396,2525.5,49,-1,20.1
3,cuda,100,32,0.0411,2431.5,50,-1,21.5
1,cuda,100,64,0.0483,2070.3,49,-1,22.9
2,cuda,100,64,0.0327,3057.6,50,-1,24.2
3,cuda,100,64,0.0667,1500.1,52,-1,25.7
1,cuda,100,128,0.0356,2812.4,53,-1,27.1
2,cuda,100,128,0.0403,2482.4,53,-1,28.5
3,cuda,100,128,0.0397,2518.5,53,-1,29.6
1,cuda,100,256,0.0414,2418.1,53,-1,28.2
2,cuda,100,256,0.0411,2431.5,51,-1,26.3
3,cuda,100,256,0.04,2499.8,50,-1,26.2
1,cuda,500,32,0.2329,2146.5,53,-1,28.6
2,cuda,500,32,0.194,2578.0,54,-1,32.4
3,cuda,500,32,0.1919,2605.5,55,-1,36.0
1,cuda,500,64,0.1542,3242.4,55,-1,39.2
2,cuda,500,64,0.1532,3263.2,56,-1,42.0
3,cuda,500,64,0.1516,3299.2,57,-1,43.1
1,cuda,500,128,0.1481,3375.4,57,-1,43.5
2,cuda,500,128,0.1466,3410.4,57,-1,43.9
3,cuda,500,128,0.2454,2037.3,56,-1,41.8
1,cuda,500,256,0.1516,3297.1,57,-1,42.2
2,cuda,500,256,0.1519,3290.8,57,-1,42.6
3,cuda,500,256,0.1509,3314.3,57,-1,42.5
1,cuda,1000,32,0.3867,2586.0,57,-1,45.3
2,cuda,1000,32,0.3769,2653.4,57,-1,44.8
3,cuda,1000,32,0.3793,2636.5,57,-1,43.3
1,cuda,1000,64,0.3156,3168.2,58,-1,45.1
2,cuda,1000,64,0.3033,3297.6,58,-1,46.8
3,cuda,1000,64,0.3015,3317.1,59,-1,48.4
1,cuda,1000,128,0.2968,3369.0,59,-1,49.8
2,cuda,1000,128,0.29,3448.5,59,-1,50.6
3,cuda,1000,128,0.2911,3434.8,59,-1,50.2
1,cuda,1000,256,0.2953,3386.3,60,-1,50.6
2,cuda,1000,256,0.2957,3382.1,60,-1,51.7
3,cuda,1000,256,0.3009,3322.9,60,-1,51.4
1,cuda,5000,32,1.9044,2625.5,59,-1,46.4
2,cuda,5000,32,1.9181,2606.7,56,-1,46.8
3,cuda,5000,32,1.9245,2598.0,60,-1,47.0
1,cuda,5000,64,1.5257,3277.1,61,-1,53.4
2,cuda,5000,64,1.5138,3302.9,62,-1,54.2
3,cuda,5000,64,1.516,3298.2,62,-1,53.2
1,cuda,5000,128,1.4581,3429.1,61,-1,56.7
2,cuda,5000,128,1.4798,3378.9,64,-1,56.0
3,cuda,5000,128,1.4688,3404.2,64,-1,56.1
1,cuda,5000,256,1.4671,3408.1,65,-1,57.9
2,cuda,5000,256,1.4658,3411.2,62,-1,58.2
3,cuda,5000,256,1.4679,3406.2,67,-1,58.1
1,cpu,100,32,1.3743,72.8,57,-1,12.7
2,cpu,100,32,1.3893,72.0,57,-1,12.7
3,cpu,100,32,1.3832,72.3,57,-1,12.7
1,cpu,100,64,1.092,91.6,57,-1,12.7
2,cpu,100,64,1.0707,93.4,57,-1,12.7
3,cpu,100,64,1.0896,91.8,57,-1,12.7
1,cpu,500,32,6.8124,73.4,58,-1,12.8
2,cpu,500,32,6.9499,71.9,58,-1,12.8
3,cpu,500,32,6.8975,72.5,59,-1,13.0
1,cpu,500,64,5.1747,96.6,59,-1,13.0
2,cpu,500,64,5.1317,97.4,59,-1,13.0
3,cpu,500,64,4.995,100.1,59,-1,13.0
1,cpu,1000,32,13.3783,74.7,60,-1,13.1
2,cpu,1000,32,13.3865,74.7,61,-1,13.3
3,cpu,1000,32,13.4838,74.2,61,-1,13.7
1,cpu,1000,64,10.0677,99.3,62,-1,13.6
2,cpu,1000,64,10.0139,99.9,62,-1,13.6
3,cpu,1000,64,10.0997,99.0,62,-1,13.8
