device,num_chunks,batch_size,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_cps,stddev_cps,min_cps,max_cps,p50_cps,p95_cps,mean_gpu_temp,mean_gpu_mem_mb,mean_gpu_power_w
cpu,100,32,1.3823,0.0075,1.3743,1.3893,72.4,0.4,72.0,72.8,72.3,72.8,57,-1,12.7
cpu,100,64,1.0841,0.0117,1.0707,1.0920,92.3,1.0,91.6,93.4,91.8,93.4,57,-1,12.7
cpu,500,32,6.8866,0.0694,6.8124,6.9499,72.6,0.8,71.9,73.4,72.5,73.4,58,-1,12.9
cpu,500,64,5.1005,0.0938,4.9950,5.1747,98.0,1.8,96.6,100.1,97.4,100.1,59,-1,13.0
cpu,1000,32,13.4162,0.0587,13.3783,13.4838,74.5,0.3,74.2,74.7,74.7,74.7,61,-1,13.4
cpu,1000,64,10.0604,0.0434,10.0139,10.0997,99.4,0.5,99.0,99.9,99.3,99.9,62,-1,13.7
cuda,100,32,0.0417,0.0025,0.0396,0.0444,2403.7,137.9,2254.0,2525.5,2431.5,2525.5,50,-1,20.1
cuda,100,64,0.0492,0.0170,0.0327,0.0667,2209.3,788.0,1500.1,3057.6,2070.3,3057.6,50,-1,24.3
cuda,100,128,0.0385,0.0026,0.0356,0.0403,2604.4,181.0,2482.4,2812.4,2518.5,2812.4,53,-1,28.4
cuda,100,256,0.0408,0.0007,0.0400,0.0414,2449.8,43.8,2418.1,2499.8,2431.5,2499.8,51,-1,26.9
cuda,500,32,0.2063,0.0231,0.1919,0.2329,2443.3,257.4,2146.5,2605.5,2578.0,2605.5,54,-1,32.3
cuda,500,64,0.1530,0.0013,0.1516,0.1542,3268.3,28.7,3242.4,3299.2,3263.2,3299.2,56,-1,41.4
cuda,500,128,0.1800,0.0566,0.1466,0.2454,2941.0,782.9,2037.3,3410.4,3375.4,3410.4,57,-1,43.1
cuda,500,256,0.1515,0.0005,0.1509,0.1519,3300.7,12.2,3290.8,3314.3,3297.1,3314.3,57,-1,42.4
cuda,1000,32,0.3810,0.0051,0.3769,0.3867,2625.3,35.1,2586.0,2653.4,2636.5,2653.4,57,-1,44.5
cuda,1000,64,0.3068,0.0077,0.3015,0.3156,3261.0,80.9,3168.2,3317.1,3297.6,3317.1,58,-1,46.8
cuda,1000,128,0.2926,0.0037,0.2900,0.2968,3417.4,42.5,3369.0,3448.5,3434.8,3448.5,59,-1,50.2
cuda,1000,256,0.2973,0.0031,0.2953,0.3009,3363.8,35.5,3322.9,3386.3,3382.1,3386.3,60,-1,51.2
cuda,5000,32,1.9157,0.0103,1.9044,1.9245,2610.1,14.1,2598.0,2625.5,2606.7,2625.5,58,-1,46.7
cuda,5000,64,1.5185,0.0063,1.5138,1.5257,3292.7,13.7,3277.1,3302.9,3298.2,3302.9,62,-1,53.6
cuda,5000,128,1.4689,0.0109,1.4581,1.4798,3404.1,25.1,3378.9,3429.1,3404.2,3429.1,63,-1,56.3
cuda,5000,256,1.4669,0.0011,1.4658,1.4679,3408.5,2.5,3406.2,3411.2,3408.1,3411.2,65,-1,58.1
