test,model,type,run,width,height,steps,frames,megapixels,prompt,seed,time_s,gpu_temp_before,gpu_temp_after,gpu_power_w
z_turbo_512x512_4steps,z-image-turbo,image,1,512,512,4,1,0.26,"A majestic mountain landscape with a crystal clear lake reflecting the sunset, photorealistic",43,46.9,46,46,34.8
z_turbo_512x512_4steps,z-image-turbo,image,2,512,512,4,1,0.26,"A futuristic city skyline at night with neon lights and flying vehicles, cinematic lighting",44,4.68,46,53,42.1
z_turbo_512x512_4steps,z-image-turbo,image,3,512,512,4,1,0.26,"A serene Japanese garden with cherry blossoms falling over a stone path, soft natural light",45,5.31,53,47,16.1
z_turbo_768x768_4steps,z-image-turbo,image,1,768,768,4,1,0.59,"A majestic mountain landscape with a crystal clear lake reflecting the sunset, photorealistic",43,16.47,47,55,42.1
z_turbo_768x768_4steps,z-image-turbo,image,2,768,768,4,1,0.59,"A futuristic city skyline at night with neon lights and flying vehicles, cinematic lighting",44,5.68,55,57,58.4
z_turbo_768x768_4steps,z-image-turbo,image,3,768,768,4,1,0.59,"A serene Japanese garden with cherry blossoms falling over a stone path, soft natural light",45,8.44,57,52,49.7
z_turbo_1024x1024_4steps,z-image-turbo,image,1,1024,1024,4,1,1.05,"A majestic mountain landscape with a crystal clear lake reflecting the sunset, photorealistic",43,19.36,52,62,33.0
z_turbo_1024x1024_4steps,z-image-turbo,image,2,1024,1024,4,1,1.05,"A futuristic city skyline at night with neon lights and flying vehicles, cinematic lighting",44,14.59,62,54,35.4
z_turbo_1024x1024_4steps,z-image-turbo,image,3,1024,1024,4,1,1.05,"A serene Japanese garden with cherry blossoms falling over a stone path, soft natural light",45,9.43,54,59,31.6
z_turbo_1280x1280_4steps,z-image-turbo,image,1,1280,1280,4,1,1.64,"A majestic mountain landscape with a crystal clear lake reflecting the sunset, photorealistic",43,21.66,59,61,43.2
z_turbo_1280x1280_4steps,z-image-turbo,image,2,1280,1280,4,1,1.64,"A futuristic city skyline at night with neon lights and flying vehicles, cinematic lighting",44,15.03,61,66,44.4
z_turbo_1280x1280_4steps,z-image-turbo,image,3,1280,1280,4,1,1.64,"A serene Japanese garden with cherry blossoms falling over a stone path, soft natural light",45,11.38,66,65,44.8
z_turbo_1024x1024_8steps,z-image-turbo,image,1,1024,1024,8,1,1.05,"A majestic mountain landscape with a crystal clear lake reflecting the sunset, photorealistic",43,13.73,65,58,32.5
z_turbo_1024x1024_8steps,z-image-turbo,image,2,1024,1024,8,1,1.05,"A futuristic city skyline at night with neon lights and flying vehicles, cinematic lighting",44,16.49,58,58,32.3
z_turbo_1024x1024_8steps,z-image-turbo,image,3,1024,1024,8,1,1.05,"A serene Japanese garden with cherry blossoms falling over a stone path, soft natural light",45,11.86,58,67,32.8
wan22_480x480_17f,wan22-t2v-14b,video,1,480,480,4,17,3.92,"A cat walking gracefully across a sunlit windowsill, smooth camera tracking, natural lighting",43,164.24,51,49,10.9
wan22_480x480_17f,wan22-t2v-14b,video,2,480,480,4,17,3.92,"Ocean waves gently crashing on a tropical beach at golden hour, cinematic slow motion",44,48.34,49,56,29.3
wan22_640x640_33f,wan22-t2v-14b,video,1,640,640,4,33,13.52,"A cat walking gracefully across a sunlit windowsill, smooth camera tracking, natural lighting",43,28.68,56,60,12.8
wan22_640x640_33f,wan22-t2v-14b,video,2,640,640,4,33,13.52,"Ocean waves gently crashing on a tropical beach at golden hour, cinematic slow motion",44,28.19,60,62,13.4
