test,model,type,run,input_chars,input_duration_s,audio_duration_s,time_s,chars_per_sec,real_time_factor,speed_x,output_chars,gpu_temp_before,gpu_temp_after,gpu_power_w
tts_short,mms-tts-zlm,tts,1,25,,2.304,3.4307,7.3,1.489,,,56,55,13.0
tts_short,mms-tts-zlm,tts,2,25,,2.24,0.12,208.3,0.0536,,,55,55,13.8
tts_short,mms-tts-zlm,tts,3,25,,2.32,0.2238,111.7,0.0964,,,55,55,14.5
tts_medium,mms-tts-zlm,tts,1,234,,16.48,0.2736,855.4,0.0166,,,55,59,17.0
tts_medium,mms-tts-zlm,tts,2,234,,16.048,0.1555,1505.1,0.0097,,,59,59,20.5
tts_medium,mms-tts-zlm,tts,3,234,,16.736,0.1905,1228.6,0.0114,,,59,59,24.1
tts_long,mms-tts-zlm,tts,1,558,,36.992,0.2963,1883.2,0.008,,,59,59,29.2
tts_long,mms-tts-zlm,tts,2,558,,36.96,0.2901,1923.8,0.0078,,,59,60,33.4
tts_long,mms-tts-zlm,tts,3,558,,36.976,0.2886,1933.7,0.0078,,,60,60,37.5
tts_very_long,mms-tts-zlm,tts,1,1199,,79.488,0.6709,1787.2,0.0084,,,60,61,39.5
tts_very_long,mms-tts-zlm,tts,2,1199,,79.312,0.6469,1853.6,0.0082,,,62,61,40.8
tts_very_long,mms-tts-zlm,tts,3,1199,,79.168,0.6435,1863.2,0.0081,,,61,63,41.3
stt_5s,whisper-large-v3,stt,1,,3.63,,16.0927,,4.4355,0.23,54,62,72,56.2
stt_5s,whisper-large-v3,stt,2,,3.63,,16.6691,,4.5944,0.22,54,72,70,59.5
stt_5s,whisper-large-v3,stt,3,,3.63,,16.1162,,4.442,0.23,54,70,72,45.8
stt_15s,whisper-large-v3,stt,1,,10.88,,25.7467,,2.3655,0.42,188,71,74,46.0
stt_15s,whisper-large-v3,stt,2,,10.88,,26.922,,2.4735,0.4,188,74,75,47.0
stt_15s,whisper-large-v3,stt,3,,10.88,,14.6975,,1.3503,0.74,188,75,68,31.1
stt_30s,whisper-large-v3,stt,1,,21.77,,11.9599,,0.5494,1.82,335,68,65,18.3
stt_30s,whisper-large-v3,stt,2,,21.77,,13.0206,,0.5981,1.67,335,65,64,14.2
stt_30s,whisper-large-v3,stt,3,,21.77,,13.4859,,0.6195,1.61,335,64,62,13.8
stt_60s,whisper-large-v3,stt,1,,43.54,,32.0791,,0.7368,1.36,739,66,61,20.8
stt_60s,whisper-large-v3,stt,2,,43.54,,36.0196,,0.8273,1.21,739,61,59,13.2
stt_60s,whisper-large-v3,stt,3,,43.54,,38.5797,,0.8861,1.13,739,59,69,31.1
stt_120s,whisper-large-v3,stt,1,,87.07,,345.9104,,3.9726,0.25,1154,69,61,31.3
stt_120s,whisper-large-v3,stt,2,,87.07,,470.7233,,5.406,0.18,1158,61,65,14.3
stt_120s,whisper-large-v3,stt,3,,87.07,,190.7293,,2.1904,0.46,1174,65,60,13.6
stt_300s,whisper-large-v3,stt,1,,217.69,,336.612,,1.5463,0.65,4119,66,58,25.8
stt_300s,whisper-large-v3,stt,2,,217.69,,249.5158,,1.1462,0.87,3981,58,57,12.6
stt_300s,whisper-large-v3,stt,3,,217.69,,274.9163,,1.2629,0.79,3859,57,57,12.6
