test,model,type,n_runs,input_chars,input_duration_s,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_audio_duration_s,mean_chars_per_sec,mean_rtf,mean_speed_x,mean_gpu_power_w
tts_short,mms-tts-zlm,tts,3,25,,1.2582,1.5368,0.12,3.4307,2.288,109.1,0.5463,,13.8
tts_medium,mms-tts-zlm,tts,3,234,,0.2065,0.0495,0.1555,0.2736,16.421,1196.4,0.0126,,20.5
tts_long,mms-tts-zlm,tts,3,558,,0.2917,0.0033,0.2886,0.2963,36.976,1913.6,0.0079,,33.4
tts_very_long,mms-tts-zlm,tts,3,1199,,0.6538,0.0122,0.6435,0.6709,79.323,1834.7,0.0082,,40.5
stt_5s,whisper-large-v3,stt,3,,3.63,16.2927,0.2664,16.0927,16.6691,,,4.4906,0.23,53.8
stt_15s,whisper-large-v3,stt,3,,10.88,22.4554,5.5066,14.6975,26.922,,,2.0631,0.52,41.4
stt_30s,whisper-large-v3,stt,3,,21.77,12.8221,0.6386,11.9599,13.4859,,,0.589,1.7,15.4
stt_60s,whisper-large-v3,stt,3,,43.54,35.5595,2.6737,32.0791,38.5797,,,0.8167,1.23,21.7
stt_120s,whisper-large-v3,stt,3,,87.07,335.7877,114.531,190.7293,470.7233,,,3.8563,0.3,19.7
stt_300s,whisper-large-v3,stt,3,,217.69,287.0147,36.5715,249.5158,336.612,,,1.3185,0.77,17.0
