test,model,type,run,input_chars,input_duration_s,audio_duration_s,time_s,chars_per_sec,real_time_factor,speed_x,output_chars,gpu_temp_before,gpu_temp_after,gpu_power_w
tts_short,mms-tts-zlm,tts,1,25,,2.224,1.092,22.9,0.491,,,45,45,10.8
tts_short,mms-tts-zlm,tts,2,25,,2.256,0.107,233.6,0.0474,,,45,45,11.6
tts_short,mms-tts-zlm,tts,3,25,,2.24,0.1338,186.9,0.0597,,,45,45,12.3
tts_medium,mms-tts-zlm,tts,1,234,,16.096,0.1484,1577.3,0.0092,,,46,50,14.6
tts_medium,mms-tts-zlm,tts,2,234,,15.776,0.1361,1719.2,0.0086,,,50,50,18.8
tts_medium,mms-tts-zlm,tts,3,234,,16.288,0.1414,1654.8,0.0087,,,50,51,22.2
tts_long,mms-tts-zlm,tts,1,558,,37.392,0.2937,1899.7,0.0079,,,48,52,27.7
tts_long,mms-tts-zlm,tts,2,558,,37.072,0.272,2051.6,0.0073,,,48,52,32.0
tts_long,mms-tts-zlm,tts,3,558,,37.744,0.2772,2012.7,0.0073,,,52,51,35.4
tts_very_long,mms-tts-zlm,tts,1,1199,,78.192,0.6183,1939.3,0.0079,,,51,52,38.2
tts_very_long,mms-tts-zlm,tts,2,1199,,77.76,0.5861,2045.8,0.0075,,,52,52,39.3
tts_very_long,mms-tts-zlm,tts,3,1199,,77.92,0.585,2049.7,0.0075,,,52,53,39.9
stt_5s,whisper-large-v3,stt,1,,3.63,,6.7729,,1.8668,0.54,63,50,48,24.5
stt_5s,whisper-large-v3,stt,2,,3.63,,6.7174,,1.8515,0.54,63,48,48,11.0
stt_5s,whisper-large-v3,stt,3,,3.63,,6.3429,,1.7483,0.57,63,49,49,11.1
stt_15s,whisper-large-v3,stt,1,,10.88,,8.604,,0.7905,1.27,186,53,50,13.0
stt_15s,whisper-large-v3,stt,2,,10.88,,8.1943,,0.7529,1.33,186,50,51,11.2
stt_15s,whisper-large-v3,stt,3,,10.88,,8.6695,,0.7965,1.26,186,51,52,11.4
stt_30s,whisper-large-v3,stt,1,,21.77,,11.6789,,0.5365,1.86,335,57,53,15.1
stt_30s,whisper-large-v3,stt,2,,21.77,,14.3183,,0.6577,1.52,335,53,53,11.7
stt_30s,whisper-large-v3,stt,3,,21.77,,12.2109,,0.5609,1.78,335,53,54,11.9
stt_60s,whisper-large-v3,stt,1,,43.54,,24.0209,,0.5517,1.81,700,60,55,19.3
stt_60s,whisper-large-v3,stt,2,,43.54,,25.8186,,0.593,1.69,700,55,56,12.4
stt_60s,whisper-large-v3,stt,3,,43.54,,25.3139,,0.5814,1.72,700,56,57,12.4
stt_120s,whisper-large-v3,stt,1,,87.07,,56.8432,,0.6528,1.53,1457,61,58,26.2
stt_120s,whisper-large-v3,stt,2,,87.07,,63.5678,,0.73,1.37,1457,58,58,12.7
stt_120s,whisper-large-v3,stt,3,,87.07,,59.6988,,0.6856,1.46,1457,58,59,12.8
stt_300s,whisper-large-v3,stt,1,,217.69,,117.8278,,0.5413,1.85,2468,66,60,27.2
stt_300s,whisper-large-v3,stt,2,,217.69,,116.8877,,0.537,1.86,2468,60,57,12.8
stt_300s,whisper-large-v3,stt,3,,217.69,,119.597,,0.5494,1.82,2468,57,56,12.5
