xfer_mode,operation,block_size,threads,rep,throughput_gibs,latency_ms,gpu_temp_c,gpu_power_w
cpu_gpu,read,16K,1,1,0.050578,301.537552,44,10.25
cpu_gpu,read,16K,1,2,0.047392,321.955292,44,10.31
cpu_gpu,read,16K,1,3,0.051568,295.744278,45,10.60
cpu_gpu,read,16K,2,1,0.091712,423.381541,45,10.59
cpu_gpu,read,16K,2,2,0.108597,298.554713,45,10.52
cpu_gpu,read,16K,2,3,0.108352,299.523711,45,10.64
cpu_gpu,read,16K,4,1,0.256581,237.480996,46,12.89
cpu_gpu,read,16K,4,2,0.202195,309.454210,46,10.67
cpu_gpu,read,16K,4,3,0.169911,404.567606,46,10.67
cpu_gpu,read,16K,8,1,0.489043,250.126369,46,12.72
cpu_gpu,read,16K,8,2,0.527140,235.641614,46,10.80
cpu_gpu,read,16K,8,3,0.443985,280.781580,46,10.77
cpu_gpu,read,16K,16,1,0.848649,285.396967,47,14.86
cpu_gpu,read,16K,16,2,0.851530,284.538648,47,14.15
cpu_gpu,read,16K,16,3,0.950062,254.890472,48,14.19
cpu_gpu,read,16K,32,1,1.439372,334.144181,48,14.57
cpu_gpu,read,16K,32,2,1.498885,320.631210,48,15.17
cpu_gpu,read,16K,32,3,1.422042,338.288343,48,14.59
cpu_gpu,read,16K,64,1,4.068700,228.991152,48,13.74
cpu_gpu,read,16K,64,2,4.419805,210.483241,48,14.69
cpu_gpu,read,16K,64,3,3.984860,234.714027,48,14.96
cpu_gpu,read,16K,128,1,7.767926,229.948669,48,13.93
cpu_gpu,read,16K,128,2,7.727932,230.865188,48,13.56
cpu_gpu,read,16K,128,3,7.831014,227.812497,48,13.54
cpu_gpu,read,1M,1,1,6.366467,152.764648,48,12.64
cpu_gpu,read,1M,1,2,6.362294,152.875000,48,11.78
cpu_gpu,read,1M,1,3,5.959582,154.545898,48,11.79
cpu_gpu,read,1M,2,1,6.216159,295.777613,48,11.76
cpu_gpu,read,1M,2,2,5.669949,337.691075,48,11.81
cpu_gpu,read,1M,2,3,5.822270,331.259237,48,11.81
cpu_gpu,read,1M,4,1,8.291534,436.169873,48,12.01
cpu_gpu,read,1M,4,2,8.168698,456.182818,48,12.10
cpu_gpu,read,1M,4,3,7.661823,476.911454,48,11.87
cpu_gpu,read,1M,8,1,10.633269,656.701087,48,11.96
cpu_gpu,read,1M,8,2,10.667504,654.444750,48,12.13
cpu_gpu,read,1M,8,3,10.453476,669.997877,48,13.13
cpu_gpu,read,1M,16,1,10.612028,1318.430279,48,14.25
cpu_gpu,read,1M,16,2,10.729792,1299.377871,48,12.88
cpu_gpu,read,1M,16,3,10.657390,1310.294663,48,12.14
cpu_gpu,read,1M,32,1,10.575682,2638.889900,48,12.35
cpu_gpu,read,1M,32,2,10.610014,2626.002936,48,13.59
cpu_gpu,read,1M,32,3,10.698312,2591.587636,48,14.51
cpu_gpu,read,1M,64,1,9.603715,5810.967137,48,14.20
cpu_gpu,read,1M,64,2,9.680407,5852.108197,48,12.48
cpu_gpu,read,1M,64,3,9.647326,5955.556908,48,12.81
cpu_gpu,read,1M,128,1,10.442565,13376.338430,48,14.50
cpu_gpu,read,1M,128,2,8.332336,13139.674712,48,13.87
cpu_gpu,read,1M,128,3,8.322976,15374.459542,48,12.23
cpu_gpu,write,16K,1,1,0.073646,207.181503,47,10.70
cpu_gpu,write,16K,1,2,0.073080,208.649170,47,10.81
cpu_gpu,write,16K,1,3,0.038965,391.452667,47,10.70
cpu_gpu,write,16K,2,1,0.096527,377.127305,47,10.71
cpu_gpu,write,16K,2,2,0.101943,342.568143,47,10.66
cpu_gpu,write,16K,2,3,0.138787,219.605520,47,10.74
cpu_gpu,write,16K,4,1,0.211128,294.167120,47,10.70
cpu_gpu,write,16K,4,2,0.207353,300.060404,47,10.77
cpu_gpu,write,16K,4,3,0.229485,274.130457,47,10.70
cpu_gpu,write,16K,8,1,0.401766,309.856893,47,10.80
cpu_gpu,write,16K,8,2,0.504185,241.011992,47,11.11
cpu_gpu,write,16K,8,3,0.444088,275.227179,47,11.03
cpu_gpu,write,16K,16,1,0.900036,269.197641,48,14.80
cpu_gpu,write,16K,16,2,0.928622,260.888974,48,11.36
cpu_gpu,write,16K,16,3,1.053754,229.996143,48,11.17
cpu_gpu,write,16K,32,1,1.535289,313.044099,48,11.87
cpu_gpu,write,16K,32,2,1.616205,301.822305,48,12.36
cpu_gpu,write,16K,32,3,1.565726,306.850276,48,11.90
cpu_gpu,write,16K,64,1,5.982067,152.900762,48,12.25
cpu_gpu,write,16K,64,2,6.280171,145.017649,49,13.95
cpu_gpu,write,16K,64,3,6.321822,144.043604,49,14.51
cpu_gpu,write,16K,128,1,8.338485,212.814035,48,12.54
cpu_gpu,write,16K,128,2,9.059464,193.998938,49,12.44
cpu_gpu,write,16K,128,3,8.360882,211.528768,49,12.47
cpu_gpu,write,1M,1,1,2.657165,366.737305,48,11.65
cpu_gpu,write,1M,1,2,3.412096,276.716797,48,11.62
cpu_gpu,write,1M,1,3,5.395140,171.447266,48,11.62
cpu_gpu,write,1M,2,1,4.166706,453.819414,48,11.62
cpu_gpu,write,1M,2,2,6.647593,274.346962,49,12.84
cpu_gpu,write,1M,2,3,6.578493,277.691608,49,15.06
cpu_gpu,write,1M,4,1,7.493139,485.724659,49,15.42
cpu_gpu,write,1M,4,2,7.383443,493.268987,49,14.72
cpu_gpu,write,1M,4,3,7.259232,499.213735,49,14.59
cpu_gpu,write,1M,8,1,8.175123,877.782403,48,13.05
